"IdArticulo","Descripcion","Descripcion1","IdTipo","LogoPantalla","AvisoActivo","Aviso","IdFamilia","IdSubFamilia","IdDepartamento","IdSeccion","Favorito","EtiquetaPorPesada","TaraFija","TaraPorcentual","PesoEmbalaje","CheckWeigher","PesoMinimo","PesoMaximo","PesoObjetivo","PorcentajeMinimo","PorcentajeMaximo","FechaCaducidadActivada","FechaCaducidad","DiasCaducidad","HorasCaducidad","FechaExtraActivada","FechaExtra","DiasExtra","HorasExtra","FechaEnvasadoActivada","FechaEnvasado","DiasEnvasado","HorasEnvasado","FechaCongelacionActivada","FechaCongelacion","DiasCongelacion","HorasCongelacion","FechaConsumoActivada","FechaConsumo","DiasConsumo","HorasConsumo","FechaFabricacionActivada","FechaFabricacion","DiasFabricacion","HorasFabricacion","IdEtiqueta","IdEtiquetaAlergenos","IdEtiquetaTotales","IdEtiquetaTotales2","IdEtiquetaTotales3","IdEtiquetaTotalesGeneral","FormatoEtiquetaSerieL","TipoOferta","LogoEtiqueta","CodInterno","EANScanner","IdClase","IdElemAsociado","LoteAuto","Texto1","Texto2","Texto3","Texto4","Texto5","Texto6","Texto7","Texto8","Texto9","Texto10","Texto11","Texto12","Texto13","Texto14","Texto15","Texto16","Texto17","Texto18","Texto19","Texto20","TextoLibre","PesoPieza","Medida2","UnidadesCaja","StockCantidad2","PrecioEstandar","MargenEstandar","PrecioUltimaCompra","FechaUltimaCompra","MargenUltimaCompra","PrecioMedio","MargenMedio","ModificaPV","PrecioSinIVA","IdIVA","PrecioConIVA","Descuento","TipoDescuento","NumUnidadesDto","TipoCalculo","AplicarRE","IdCodBarras","IdCodBarras2","IdCodBarrasTotalNivel1","IdCodBarras2TotalNivel1","IdCodBarrasTotalNivel2","IdCodBarras2TotalNivel2","IdCodBarrasTotalNivel3","IdCodBarras2TotalNivel3","Nivel1","Nivel2","Nivel3","IdCodBarrasTotalGeneral","IdCodBarras2TotalGeneral","IdTexto1","IdTexto2","IdTexto3","IdTexto4","IdTexto5","IdTexto6","IdTexto7","IdTexto8","IdTexto9","IdTexto10","Rojo","Verde","Azul","DescripcionPreenvasados","TeclaDirecta","PrecioOferta","PrecioOferta2","StockActual","StockActual2","PrecioPorCienGramos","IncluirGestionStock","CodSmiley","EnVenta","IdLogo","IdLogo1","IdLogo2","IdLogo3","IdLogo4","IdLogo5","Color","IdEmpresa","Modificado","ModificadoTextos","ModificadoTextoG","Operacion","Usuario","TimeStamp","PlayList","Marca","IdCodigoVisionArt"
11,"SUGO ALLA GENOVESE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: carne di vitello, SEDANO, carota, cipolla, vino bianco, Olio evo, sale, pepe, alloro.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
12,"POLIPETTI ALLA LUCIANA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: moscardini, aglio, capperi, olive, passata di pomodoro, prezzemolo, Olio evo, sale, pepe, peperoncino secco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
13,"PARMIGIANA DI MELANZANE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: melanzane, Olio evo, olio di semi di girasole, PARMIGIANO, passata di pomodoro, mozzarella fiordi LATTE, PROVOLA, sale, pepe, basilico.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
14,"PARMIGIANA BIANCA DI ZUCCHINE SALSICCIA E PROVOLA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: zucchine, Olio evo, olio di semi di girasole, PARMIGIANO, PROVOLA , salsiccia di maiale a punta di coltello, sale, pepe, FARINA 00, LATTE, BURRO .","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
15,"ZUCCHINE ALLA SCAPECE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: zucchine, Olio evo, olio di semi di girasole, sale, pepe, menta, aceto di vino bianco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
16,"PEPERONI ALLA NAPOLETANA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Peperoni, Olio evo, olio di semi di girasole,olive nere denocciolate, capperi, sale, pepe, aglio.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
17,"FRIARIELLI NAPOLETANI","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: friarielli freschi, aglio, Olio evo, sale, peperoncino secco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
18,"MELANZANE A FUNGHETTO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: melanzane, pomodorini freschi, basilico, passata di pomodoro, aglio, sale, pepe, Olio evo, olio di semi di girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
19,"CREMA DI CACIOCAVALLO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: caciocavallo, LATTE , sale, pepe, BURRO.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,-0.236,0.000,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
20,"CREMA DI PROVOLONE PICCANTE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: PROVOLONE piccante, LATTE , sale, pepe, BURRO","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,-0.238,0.000,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
